Time, GyroX, GyroY, GyroZ, AccX, AccY, AccZ, Pressure, TempMS, Height, KalHeight
351,-22.56,19.16,37.48,-0.03,0.64,-0.90,1017.79,5.04,-6.31,-11.76
373,-74.59,0.84,49.45,-0.00,0.70,-0.89,1017.90,5.04,-7.19,-5.07
438,44.36,50.17,-27.23,-0.04,0.71,-0.94,1017.79,5.04,-6.31,-6.70
507,49.53,98.60,-58.75,0.06,0.59,-0.91,1017.79,5.04,-6.31,-6.21
574,21.78,120.00,-78.70,0.06,0.54,-0.92,1017.79,5.04,-6.31,-6.33
643,-45.70,106.20,-112.18,-0.01,0.58,-0.99,1017.90,5.04,-7.19,-7.33
715,-36.51,67.21,-104.64,-0.01,0.69,-0.82,1017.90,5.04,-7.19,-7.17
786,14.52,108.17,-99.19,-0.01,0.63,-0.85,1017.79,5.04,-6.31,-6.20
855,-36.76,96.81,-33.14,-0.07,0.79,-0.81,1017.85,5.02,-6.79,-6.85
926,-28.71,96.28,4.74,0.09,0.69,-0.64,1017.79,5.04,-6.31,-6.26
992,49.47,81.97,-81.72,0.06,0.79,-0.74,1017.74,5.02,-5.91,-5.88
1059,-46.88,110.14,75.04,0.13,0.68,-0.82,1017.85,5.02,-6.79,-6.86
1128,-59.05,142.08,8.69,0.15,0.78,-0.77,1017.85,5.02,-6.79,-6.78
1196,-2.32,296.29,60.64,0.03,0.71,-0.91,1017.74,5.02,-5.91,-5.85
1265,-95.66,236.12,11.68,0.32,0.77,-0.72,1017.69,5.00,-5.51,-5.49
1335,-50.76,225.58,-54.15,0.41,0.81,-0.50,1017.80,5.00,-6.39,-6.44
1406,42.62,223.76,-59.26,0.40,0.75,-0.52,1017.69,5.00,-5.51,-5.46
1476,-73.14,265.36,-78.55,0.39,0.86,-0.44,1017.80,5.00,-6.39,-6.44
1546,-87.20,281.50,-43.31,0.53,0.95,-0.33,1017.85,5.02,-6.79,-6.81
1617,-0.68,298.63,-7.68,0.47,0.87,-0.25,1017.80,5.00,-6.39,-6.37
1686,14.68,138.45,8.80,0.42,0.83,-0.23,1017.80,5.00,-6.39,-6.39
1754,-3.28,118.71,-20.10,0.63,0.90,-0.18,1017.80,5.00,-6.39,-6.39
1824,-27.02,278.54,-63.33,0.60,0.89,-0.06,1017.85,5.02,-6.79,-6.80
1894,-3.95,218.81,-61.28,0.34,0.86,-0.08,1017.80,5.00,-6.39,-6.37
1964,-18.36,84.12,-10.01,0.29,0.85,-0.05,1017.86,4.98,-6.87,-6.89
2034,-34.15,7.42,3.65,0.44,0.91,0.00,1017.86,4.98,-6.87,-6.87
2100,-1.55,43.00,-12.75,0.37,0.91,0.10,1017.86,4.98,-6.87,-6.87
2167,-2.91,13.61,-10.17,0.34,0.93,-0.03,1017.81,4.96,-6.47,-6.45
2236,7.03,6.05,-8.58,0.34,0.91,0.06,1017.81,4.96,-6.47,-6.47
2301,20.30,18.08,-14.32,0.36,0.91,0.03,1017.81,4.96,-6.47,-6.47
2368,-3.37,45.38,-8.76,0.32,0.91,0.04,1017.91,4.96,-7.27,-7.29
2435,-1.63,38.08,-13.23,0.29,0.86,0.03,1017.87,4.94,-6.95,-6.94
2503,-5.90,12.52,8.58,0.32,0.91,0.07,1017.87,4.94,-6.95,-6.95
2568,-18.27,64.86,-15.16,0.30,0.92,0.10,1017.92,4.92,-7.35,-7.36
2637,-17.96,10.58,15.97,0.31,0.91,0.10,1017.92,4.92,-7.35,-7.35
2705,-8.01,17.96,4.70,0.33,0.91,0.11,1017.92,4.92,-7.35,-7.35
2770,-7.72,20.32,-4.64,0.34,0.92,0.12,1017.87,4.90,-6.95,-6.94
2837,14.60,17.47,-22.20,0.31,0.89,0.09,1017.87,4.90,-6.95,-6.95
2905,24.72,-45.22,-4.71,0.31,0.91,0.08,1017.87,4.90,-6.95,-6.95
2972,4.49,-57.22,12.02,0.28,0.97,0.12,1017.82,4.89,-6.55,-6.54
3039,-39.69,-50.39,17.76,0.32,0.91,0.08,1017.77,4.87,-6.15,-6.14
3108,-25.43,-68.21,27.47,0.37,0.89,0.09,1017.77,4.87,-6.15,-6.15
3177,-0.33,-112.68,42.80,0.39,0.89,0.08,1017.88,4.87,-7.03,-7.05
3245,-19.22,-60.73,25.21,0.36,0.90,0.07,1017.83,4.84,-6.63,-6.62
3314,-46.70,-58.70,20.37,0.37,0.88,0.07,1017.78,4.82,-6.23,-6.22
3383,-44.38,-72.64,30.75,0.54,0.87,0.11,1017.78,4.82,-6.23,-6.23
3452,-72.44,-19.19,-2.09,0.42,0.84,0.10,1017.78,4.82,-6.23,-6.23
3520,-13.73,-75.40,18.54,0.48,0.83,0.16,1017.73,4.81,-5.83,-5.82
